,time,count,length,before,after
0,0.07539,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper",
1,0.05851,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper",
2,0.17463,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr",
3,0.05624,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece",
4,0.06704,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}",
5,0.05779,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize",
6,0.0784,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom",
7,0.23033,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,",
8,0.08459,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,",
9,0.15885,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry",
